track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
6swf0xZe702UEfj8KZoxo1,Kabira,Jubin Nautiyal;Raaj Aashoo,48,556348,0,0.541,0.627,10,-7.027,0,0.066,0.767,1.96e-05,0.103,0.451,97.676,4,0
0iI7D3Vqt2r8T22CmtqB4A,To Infiinity,Ocoeur,8,248680,0,0.109,0.303,10,-12.752,1,0.0404,0.683,0.261,0.116,0.035,76.95,5,0
1Io7OqoTHDgM6BBf0o749L,メランコリニスタ,YUKI,35,264653,0,0.76,0.842,1,-4.446,1,0.0421,0.229,0.0139,0.358,0.625,114.839,4,0
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,Zara Larsson,65,190050,1,0.608,0.71,11,-4.998,1,0.0636,0.43,0.0,0.0903,0.613,124.985,4,0
5OMzsUSgwjyRcyDfdLD4jS,Não Termina Assim,Dead Fish,34,158568,0,0.316,0.951,10,-5.081,0,0.056,6.41e-05,0.0,0.339,0.718,103.68,4,0
2hllpVVDanlsKNLUscH4PA,The Next in Line,Swingin' Utters,31,220400,0,0.316,0.863,11,-6.17,1,0.097,0.00278,8.5e-05,0.0417,0.557,181.104,4,0
1hDNg43vCjUHSJSzETUHdN,"Hey, wir woll'n die Eisbären seh'n - Original Mix",Sound Convoy,38,211266,0,0.699,0.95,8,-5.291,1,0.0369,0.0243,7.05e-06,0.583,0.709,124.058,4,0
3jcMkuNGMExEorJSML33D9,Demon Speeding,Rob Zombie,0,224306,0,0.548,0.809,11,-4.001,0,0.0328,0.000298,2.96e-06,0.156,0.409,133.984,4,0
0jGNrMFSke9iI1pmfWbvft,Nothing Really Matters,Tiësto;Becky Hill,0,157720,0,0.735,0.842,5,-4.079,0,0.0403,0.00519,4.52e-06,0.308,0.681,123.039,4,0
0adp6yLOHyfrfmmsO3cH02,MAIN STREET ELECTRICAL PARADE,BiSH,20,110826,0,0.479,0.995,7,-4.777,1,0.075,1.16e-05,0.987,0.0499,0.158,109.971,4,0
